Wavelength_Angs Flux(erg/s/cm2/A)
3.633858398195934114e+03 1.038699969649314880e-02
3.634695221352834778e+03 1.047560013830661774e-02
3.635532237217577403e+03 1.047990005463361740e-02
3.636369445834532144e+03 1.057630032300949097e-02
3.637206847248094618e+03 1.081459969282150269e-02
3.638044441502654990e+03 1.090990006923675537e-02
3.638882228642629798e+03 1.106830034404993057e-02
3.639720208712429667e+03 1.130309980362653732e-02
3.640558381756491144e+03 1.123849954456090927e-02
3.641396747819245320e+03 1.115060038864612579e-02
3.642235306945150114e+03 1.107690017670392990e-02
3.643074059178656626e+03 1.084950007498264313e-02
3.643913004564242328e+03 1.075490005314350128e-02
3.644752143146380149e+03 1.066519971936941147e-02
3.645591474969567571e+03 1.063739974051713943e-02
3.646431000078297529e+03 1.069310028105974197e-02
3.647270718517088426e+03 1.059660036116838455e-02
3.648110630330453660e+03 1.042560022324323654e-02
3.648950735562932095e+03 1.036499999463558197e-02
3.649791034259061234e+03 1.036710012704133987e-02
3.650631526463389491e+03 1.045299973338842392e-02
3.651472212220486654e+03 1.053319964557886124e-02
3.652313091574916598e+03 1.074470020830631256e-02
3.653154164571270485e+03 1.074900012463331223e-02
3.653995431254132654e+03 1.081809960305690765e-02
3.654836891668114276e+03 1.091070007532835007e-02
3.655678545857821518e+03 1.091689988970756531e-02
3.656520393867884650e+03 1.090919971466064453e-02
3.657362435742930757e+03 1.098959986120462418e-02
3.658204671527611026e+03 1.103689987212419510e-02
3.659047101266573009e+03 1.095249969512224197e-02
3.659889725004488810e+03 1.100969966500997543e-02
3.660732542786025988e+03 1.107139978557825089e-02
3.661575554655877113e+03 1.095279958099126816e-02
3.662418760658730207e+03 1.087140012532472610e-02
3.663262160839299213e+03 1.078999973833560944e-02
3.664105755242292616e+03 1.067319978028535843e-02
3.664949543912444824e+03 1.075529959052801132e-02
3.665793526894484330e+03 1.081850007176399231e-02
3.666637704233166005e+03 1.088950037956237793e-02
3.667482075973244264e+03 1.088900025933980942e-02
3.668326642159482162e+03 1.071269996464252472e-02
3.669171402836665493e+03 1.063469983637332916e-02
3.670016358049575501e+03 1.062690000981092453e-02
3.670861507843017534e+03 1.058030035346746445e-02
3.671706852261794211e+03 1.075039990246295929e-02
3.672552391350731341e+03 1.102809980511665344e-02
